Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Metabolism;Metabolism of cofactors and vitamins;Thiamine	6451.31502187	6677.04344144	6199.27954831	6473.67473533	6392.70026141	6686.65208381	7523.05344337	6992.54765015	6953.34217899	7182.99938873	7124.31224626	7325.11561102	7526.29217773	5892.20220242	7496.92729287	6412.05257698	6448.0202452	6013.86693228	6412.10299825	6240.68644359
Metabolism;Nucleotide metabolism;Pyrimidine	37755.7641804	41225.6359523	35091.7439221	35808.0321363	37663.5141261	40450.836273	37717.4451999	36489.32816	37595.40577	37641.8350998	34545.3010141	37420.9395332	34704.5172904	31231.8156012	36759.0137974	39500.9838487	38489.4797262	38208.8862834	38948.3062407	36790.327412
Metabolism;Biosynthesis of other secondary metabolites;Tropane,	2848.6978745	3017.13861129	2768.44189435	2703.86462872	2760.91044347	3018.57877527	2536.59420746	2494.35729841	2758.670425	2643.35070827	2323.60872841	2746.39768838	2328.68586423	2308.80440316	2630.72846695	3191.37206349	3107.66141361	2932.84030265	2961.15303604	2695.7349601
Metabolism;Glycan biosynthesis and metabolism;Glycosphingolipid	443.904499923	562.849183868	474.499204717	505.211744948	499.576385266	499.31045821	496.86168909	535.959413088	455.837152	480.192148049	632.717675112	654.608654091	724.887111071	538.541048038	700.777332988	454.640887928	495.562560938	481.216411942	465.340255163	588.987204584
Metabolism;Glycan biosynthesis and metabolism;Glycosphingolipid	0.0	0.0	0.287502999829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.10592700015	0.0	1.30608500009	0.0	0.0	0.778443999903	1.13555399986	0.0	0.0
Metabolism;Lipid metabolism;Sphingolipid	3619.62294537	3696.79023613	3477.02761993	3359.10535365	3825.11842904	3446.19565045	3873.3604737	3894.76452564	3489.004511	3700.32206938	3442.80621561	3390.96186347	3859.09928038	3056.58036322	3608.25044794	2746.47934356	3019.97456363	3136.09265362	3352.60950117	3363.06099562
Metabolism;Glycan biosynthesis and metabolism;Glycosphingolipid	119.562194979	231.995357945	208.015708876	214.705326978	175.967244094	141.99196806	176.567812032	261.493430043	159.323907	181.347754019	465.965991082	467.562412065	533.967546052	365.748389026	455.000590992	232.041171963	219.533771973	272.132757967	274.420959096	365.903220741
Metabolism;Biosynthesis of other secondary metabolites;Betalain	21.7419139962	13.001010997	14.3502879915	12.6155439987	22.8838770122	2.34267300098	12.8490390023	8.94756100147	6.183384	5.62216900058	20.3250580036	10.5696720015	37.0506460036	54.5404880038	9.13405299985	6.97216099889	11.1430219986	4.70977399943	17.4009540061	16.1557409886
Metabolism;Carbohydrate metabolism;Glycolysis	33654.1368721	33372.3302132	29862.2287192	29711.1525849	31977.7246641	36494.1617554	30768.5514696	29164.6689728	31287.363012	31353.9812482	24534.7207003	28915.753689	26003.0297305	24669.2472067	27994.4767925	33677.6481456	32970.8360399	30949.0731323	30985.4253259	29753.3101
Metabolism;Glycan biosynthesis and metabolism;Lipopolysaccharide	529.957941908	339.86484192	495.295239705	568.431696941	368.712492197	264.730371112	1216.71323522	1018.21465417	781.796127999	847.629535086	884.607659156	1106.76260015	1001.5496901	1064.62853308	1120.94859498	711.245642887	602.279344925	823.007300901	716.856915251	774.779325452
Metabolism;Metabolism of terpenoids and polyketides;Carotenoid	2179.59148162	1884.08309756	1982.44111182	2038.65917579	1964.50596705	1999.49456184	2625.07590948	2087.23086534	2216.464675	2293.01345723	1818.53016832	1967.67103127	1974.50718919	1619.81251911	2006.69931897	2231.71877164	2158.36061173	1910.28860177	2051.76310572	1843.4401907
Metabolism;Metabolism of terpenoids and polyketides;Terpenoid	13175.7547067	12612.600517	11462.8734142	11553.9327158	12694.6994168	12879.1885704	11923.2026912	11241.4976938	12318.829162	12116.4915902	9552.18109869	11077.8407985	10219.978898	9356.95442866	11001.0058048	12299.555882	11965.6394375	11497.8866036	11550.1146971	11121.1954061
Metabolism;Biosynthesis of other secondary metabolites;Indole	21.3919149963	11.0862979974	10.123271994	8.09492399915	20.9575650112	1.6740570007	10.995181002	7.24855100119	5.631512	4.8210510005	17.2553100031	8.27263800115	30.2917750029	10.6364110008	6.0949609999	6.57289799895	5.36400899933	4.39078699947	16.0097460056	12.6117449911
Metabolism;Metabolism of terpenoids and polyketides;Limonene	3266.52795343	3032.82739729	2643.31632543	2682.26662472	3008.31827761	3727.43244357	3032.97128455	2906.76118548	2986.138248	2970.4184133	2511.46569244	2867.5777584	2716.62352227	2592.87049318	2890.21985395	3122.6563205	3364.05711558	2914.20832165	2782.46491898	2888.07980096
Metabolism;Metabolism of terpenoids and polyketides;Zeatin	200.349474965	198.626881953	282.737174831	243.245642974	185.179666099	164.321728069	388.217818071	398.190232065	272.76863	301.47127703	504.696326089	468.539252065	548.331376053	415.445270029	539.01820099	230.828058963	258.999181968	286.624251966	282.396617099	276.332830805
Metabolism;Metabolism of terpenoids and polyketides;Sesquiterpenoid	534.810632907	499.415085883	377.673145775	384.97134196	502.216474269	597.755993251	617.075275112	488.84689008	515.248248999	515.732947053	346.514871061	326.084428045	309.12246503	290.664197021	393.048414993	455.421233927	423.177171947	418.25544795	430.498885151	375.364914735
Metabolism;Metabolism of cofactors and vitamins;Porphyrin	18802.6711337	18403.9503387	16485.7404632	17202.2689422	17409.0704993	20626.3482457	20680.1643288	18179.483795	19711.416844	20160.4686181	14405.1535265	16957.4171844	15277.9198825	14002.729737	16649.7105777	20848.5299727	20443.1778045	17641.4367739	18359.8273654	16993.559815
Metabolism;Biosynthesis of other secondary metabolites;Prodigiosin	5607.88945002	5084.68378881	4912.77520908	4759.9910255	5325.74416884	6489.38319573	5325.10355197	5000.39893382	5071.626086	5149.54274952	3629.16985964	4521.09478563	4281.90981042	3896.13472827	4479.53771092	4952.53127021	4842.2050654	4885.82742841	4731.77531666	4744.24484565
Metabolism;Biosynthesis of other secondary metabolites;Carbapenem	421.037114927	430.636304899	480.989736714	585.026884939	435.668343233	292.404049123	850.282085154	774.671030127	689.991144999	709.930790072	862.986230152	853.573491118	859.428499084	731.294949051	950.687234984	671.282429893	615.507607923	621.154361925	664.446399233	620.892778562
Metabolism;Biosynthesis of other secondary metabolites;Clavulanic	4.28690499925	2.42939199943	2.26059599865	1.83093099981	2.4281610013	10.1419980043	2.43794800044	2.95960200048	3.203851	4.19458500043	0.0	0.271761000038	3.49734100034	1.02687900007	0.253587999996	0.233118999963	0.0	0.0	0.0	1.17723899917
Metabolism;Amino acid metabolism;Arginine	15602.0037233	15004.8124965	13622.3319569	13878.8930126	14908.556091	17707.5728124	15306.3561448	14364.9115474	15105.745076	15167.6444835	12505.4640862	14208.269991	13546.8277323	12286.9983079	14337.2566368	15844.6092015	15723.231356	14917.8112222	15192.1399193	14527.7489557
Metabolism;Global and overview maps;Microbial	143759.450707	141518.429077	126480.989601	126701.48081	137678.252113	153801.853467	134507.731485	126992.914747	135967.328424	135443.997603	106778.549123	124952.063644	112860.06141	105576.738076	120546.49978	141388.800303	140452.379134	130955.187553	134016.993188	126403.377609
Metabolism;Lipid metabolism;Arachidonic	15.2208389973	7.31235299828	10.014928994	10.1501979989	7.82274100418	14.1068250059	15.9305020029	14.3515880023	14.108831	14.3826270015	17.8163680032	29.5073000041	36.9079320036	52.0359340037	15.2943549997	16.7510609973	18.6660569977	29.9562609964	19.8274240069	19.5923609862
Metabolism;Global and overview maps;Biosynthesis	85269.8753751	85343.616078	75102.6741933	77068.796865	82207.6252109	88018.067046	83405.7384072	77827.9324717	82658.2773199	82729.1079804	70145.5888234	80497.1122842	73478.5636782	65844.0118057	78133.0258936	85872.2621473	84013.1616756	79824.3731704	82456.0744329	77326.0122644
Metabolism;Xenobiotics biodegradation and metabolism;Styrene	2002.38564565	1668.91288961	1682.96592	1719.04758682	1813.86129097	2476.92859704	2769.5612325	2153.21197935	2212.230707	2318.86197323	1421.51711325	1731.02160724	1547.66737915	1303.32508509	1718.91256297	1686.18617873	1676.89582279	1581.66777581	1591.01875556	1473.88490696
Metabolism;Xenobiotics biodegradation and metabolism;Ethylbenzene	2672.40191353	2389.69653444	2319.76489362	2257.83766476	2575.79424338	3002.46975826	1820.81596533	1832.5085563	2056.700816	1971.6402152	1329.27343724	1756.57504324	1527.74359415	1519.04815411	1655.32986497	2034.62396468	2178.00162273	2052.06315275	2054.72994872	1918.74957364
Metabolism;Carbohydrate metabolism;Propanoate	25899.3756995	25280.5686891	21961.6381539	21739.7172377	24631.1342981	27929.8714378	21949.919418	21638.6081625	23335.64436	22976.9450803	17918.7065392	20357.3182398	18712.0444118	17540.8219292	19788.1118887	23089.4283893	23166.5513121	21548.2779814	22308.7920258	20786.3376363
Metabolism;Xenobiotics biodegradation and metabolism;Fluorobenzoate	733.208411872	496.091367884	545.510635675	621.596911935	640.599115342	789.666321332	1381.81940325	909.820931148	806.19846	944.554043096	415.436610073	534.890661074	442.046649043	387.701550027	587.73670299	462.519019926	481.44760094	431.767719948	447.748045157	404.902772714
Metabolism;Metabolism of cofactors and vitamins;Nicotinate	12258.4526219	12271.8697631	10629.2379287	11018.1859099	12239.8810395	12494.0388123	12430.0807273	11259.4811298	11801.356509	11861.9635302	10371.6140708	11538.6085746	10884.1780541	9328.72060066	11166.2511218	11639.2349071	11438.4587526	11098.0432117	11207.1838599	10670.0871195
Metabolism;Carbohydrate metabolism;Galactose	11467.56563	11553.7595103	10623.5817127	10573.6706169	11443.2863201	11050.6712316	11619.6130241	11202.9425188	11385.237558	11350.2283082	10017.5144838	11047.0815345	10362.903085	9174.73492965	11161.5561778	11799.2016171	12010.4049645	11007.0374767	11456.72164	11019.3647992
Metabolism;Carbohydrate metabolism;Ascorbate	6260.52022091	5921.88690961	5380.9811518	5432.54415643	6071.62975124	7799.61082028	5875.89645807	5551.09934591	5945.665235	6001.44938361	4438.14824378	5173.85629572	4969.74328049	4666.93340433	5211.51224891	5944.55817705	6116.65804424	5567.70856433	5593.76229396	5611.88166604
Metabolism;Carbohydrate metabolism;Fructose	8165.64278458	8171.56622809	7895.9287143	8031.48693416	8044.98380329	8836.60665672	9304.16669469	8630.04937841	8636.78123599	8775.25272989	7937.6128014	9441.12587931	9026.61599588	7365.97285552	9244.95407284	9007.72528957	8545.05041994	8999.01748392	8725.41327006	8605.88766392
Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis	289.737238949	343.802411919	367.088139781	376.070929961	287.758262153	214.31182209	570.513795103	527.887126086	443.678042	451.596507046	763.739264135	713.348608098	884.407301086	555.592783039	703.979349988	370.200809941	357.131508956	411.10141495	471.597255166	450.789944681
Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis	845.628429853	922.537593784	756.19046055	759.642563921	794.819419425	827.866144349	878.385663159	759.665206124	823.412552999	861.567236088	647.748543115	777.074914108	692.342596067	652.418822046	799.264039986	886.288081859	879.165667891	830.3133709	833.219068292	789.793458442
Metabolism;Metabolism of terpenoids and polyketides;Type	26.2777179954	11.2607669974	14.5534519913	20.7509219978	13.3035390071	9.19755800389	46.2498010084	56.9913010094	42.079192	40.3967630041	10.3679570018	11.9017480017	11.5513580011	2.8449050002	28.6653569995	11.1593629982	6.91858999914	4.06297799951	2.70833100095	4.04792699714
Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis	700.166784878	642.724241849	709.378021578	653.925186932	686.438183366	606.302462255	749.831089137	780.586728128	694.773859	686.52801007	652.979552115	709.496713099	632.130154062	572.90826804	803.744017986	626.541948901	710.640548911	645.080005923	733.907626257	691.400109512
Metabolism;Metabolism of terpenoids and polyketides;Nonribosomal	77.4854079865	43.6324659898	83.8757869501	90.9435809905	57.3157590306	50.2635410212	227.927332041	169.031856028	128.888103	149.940479015	62.6560990111	64.3854800089	86.2926240084	42.532804003	83.1288509985	54.1010039914	90.5785479888	51.1875429939	40.0787510141	74.8707589472
Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis	42.4294789926	39.4676949907	72.429709957	80.8743809916	44.7036700238	26.8634700113	59.0302750107	49.8811620082	40.54263	49.327902005	27.1924340048	92.6053770129	32.6311400031	45.7544660032	93.1671569984	51.9978609917	28.8627349965	47.2544099942	41.9270090147	45.8961099676
Metabolism;Metabolism of terpenoids and polyketides;Biosynthesis	5.59590399903	1.49505399965	29.0564279827	22.5860379976	3.28348300176	2.25576400095	17.3909190032	9.1804530015	7.56237099999	10.9937010011	3.36052000059	2.8634090004	2.71298800027	5.79724100041	8.32434699986	1.37239199978	17.0322399979	1.14757799986	0.537782000189	1.58690599888
Metabolism;Biosynthesis of other secondary metabolites;Phenylpropanoid	1864.07703768	1587.48536463	1376.03453118	1477.97509185	1662.10292889	1811.28910876	1724.25486831	1575.07639426	1667.162312	1617.84438816	1975.98731235	1650.19343123	1819.65368018	1371.1107441	1842.36608397	1356.86067478	1329.72422383	1279.84424285	1458.04203251	1305.53790608
Metabolism;Biosynthesis of other secondary metabolites;Flavonoid	115.65851398	92.7217879783	109.184915935	139.410861986	93.1293600497	71.9973130303	247.344732045	172.828271028	167.727011	170.442394017	168.01339903	172.715546024	178.370936017	118.757853008	225.231343996	106.626934983	88.2917729891	75.6339189909	121.241238043	112.95586692
Metabolism;Biosynthesis of other secondary metabolites;Flavone	81.1022219859	97.1626799773	81.4757619515	90.8392539905	85.6696230457	86.1952300362	142.998195026	136.641672022	130.964198	156.490005016	46.5835560082	62.9859800088	88.3299610086	72.5403390051	89.1184209985	78.4789229875	127.206652984	81.0415319902	44.9986990158	111.601262921
Metabolism;Biosynthesis of other secondary metabolites;Stilbenoid,	115.65851398	92.7217879783	109.184915935	139.410861986	93.1293600497	71.9973130303	247.344732045	172.828271028	167.727011	170.442394017	168.01339903	172.715546024	178.370936017	118.757853008	225.231343996	106.626934983	88.2917729891	75.6339189909	121.241238043	112.95586692
Metabolism;Metabolism of other amino acids;D-Arginine	127.218850978	193.821101954	140.215176917	137.055246986	154.224346082	100.633721042	194.073587036	237.435532039	180.575919	183.913417018	328.320655058	307.131083043	424.189616042	206.095406015	319.198056994	143.047867977	146.019930982	179.489287978	207.694184073	187.352890868
Metabolism;Metabolism of cofactors and vitamins;Retinol	3426.0704494	3231.18516124	3066.45294217	2950.29928969	3334.50763078	4303.46169381	2658.81714948	2428.1610274	2925.275421	2948.1738863	1613.20823129	2320.26829932	1692.38246017	2034.43428214	2083.22771796	3113.4886785	3374.08228358	2775.84248467	2645.62352393	2806.29682702
Metabolism;Xenobiotics biodegradation and metabolism;Caprolactam	1497.17675074	1495.05337565	1376.34199918	1389.24386885	1507.54760781	1589.11154167	1474.07979327	1542.41493225	1388.980313	1453.83108115	1603.18296728	1635.48388223	1716.27350517	1467.5756491	1653.23175597	1375.33602078	1343.88943183	1422.19671083	1458.30050551	1354.68136104
Metabolism;Metabolism of other amino acids;Glutathione	4712.17765118	4187.73793802	4117.36940955	4287.17735455	4367.40123433	4807.34193502	5999.13993109	4873.1476788	4800.188857	5026.64280951	4550.3014718	4920.97197568	4687.27678946	3900.15416228	4799.72017992	4486.23280529	4409.80921945	4254.74376249	4436.56159356	4189.54724204
Metabolism;Energy metabolism;Carbon	30553.1896867	30443.5408959	26726.5402741	26848.7956262	29260.6294636	32852.1036638	26999.1992959	26564.4549353	27837.996457	27915.5647828	22637.572887	25738.1447076	23726.1805123	21488.9068925	24743.0085476	28176.4533825	27978.5214715	26226.1821368	27079.5216375	25437.673591
Metabolism;Carbohydrate metabolism;Starch	13116.8689167	13332.0120729	13124.1763302	13272.3260546	12968.5001459	12895.2526114	15066.3754347	13862.5679443	13851.634142	14178.7689524	14824.8650866	14991.4098281	15344.8087245	11978.7251208	15634.5760857	13259.8805479	12857.4387164	12301.0469515	13613.2364298	13129.3582147
Metabolism;Energy metabolism;Methane	27653.3345452	26677.1872627	23014.5010563	23168.8517376	26167.367825	30328.5714778	24580.6355205	22837.1846627	25083.471896	25136.2168546	18923.9660403	22303.3991841	19893.0993449	18807.7083193	21274.2763116	26403.3088908	25671.1152298	24178.8536371	24260.5343775	22775.3109169
Metabolism;Biosynthesis of other secondary metabolites;Aflatoxin	4.99475799913	4.65258399892	8.24907299509	5.12599899947	6.35079300339	7.85190800331	10.4053910019	9.86828400161	7.696385	10.9578430011	8.81078900154	15.1487160021	11.7707520011	33.1229590023	9.59061199983	6.57577399896	11.1356019986	7.64898799907	6.69799600234	10.9854439922
Metabolism;Amino acid metabolism;Alanine,	22671.9247871	23887.9275944	21005.6215305	21182.1734598	22494.272365	23721.438743	22032.031051	20701.6226264	22135.851111	22070.7073672	17994.5477402	20545.0509209	18431.9683728	17354.4001932	20194.5318126	23073.1748663	22502.7551662	21642.5926544	21852.6714717	20832.1769603
