	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Metabolism of terpenoids and polyketides;Biosynthesis	768.400590627	802.060357158	861.949581129	837.884281709	771.076004806	656.414889193	946.927027844	941.385182656	845.899392687	866.810280818	1083.79545432	1049.5865943	1108.37626869	984.130004363	1117.55575416	805.340006453	827.001172019	863.83938158	908.564580067	909.740061612
Metabolism of terpenoids and polyketides;Geraniol	689.567118465	618.116132848	566.704159309	568.424893763	661.954063111	655.338348856	567.484866784	604.938642577	579.942300664	574.145562834	619.360582717	636.334867342	691.472381172	673.761038507	637.832477244	509.551743379	550.689515405	555.433733829	540.03978955	545.248026192
Metabolism of terpenoids and polyketides;Sesquiterpenoid	220.413680199	206.235163563	174.27278612	175.620634122	214.004393122	235.936386032	261.016698693	218.557523129	219.259528392	219.488170356	180.682309107	150.31869667	153.615127965	157.749841068	184.008773983	191.18826633	179.357780483	188.013833798	188.876159298	172.829584757
Metabolism of terpenoids and polyketides;Terpenoid	5396.5506035	5158.48858375	5235.87353126	5209.78622367	5369.04592499	5060.31142817	4998.15189266	4982.9857783	5206.2964883	5113.39021085	4814.05362189	4973.8440953	4906.79657966	4973.02214394	5039.60589595	5106.96201124	5015.13493297	5091.26687547	4996.50077676	5048.33590014
Metabolism of terpenoids and polyketides;Zeatin	82.6983105419	82.2233659428	130.90481533	111.262838827	79.2090781315	64.9344479051	165.090904887	179.734183117	116.529427337	129.118223112	263.162436048	215.987651209	273.180341147	226.547267123	253.372753428	96.9028519663	109.892055616	128.920271673	123.898087257	127.952208714
Nucleotide metabolism;Purine	19615.8433738	20807.6964163	20137.7226845	20235.38078	19988.5835719	19478.8443594	20186.2740479	20264.6677288	20052.4724875	19958.9330629	21428.0747745	20887.1887607	20764.0275373	20655.4207298	20658.0655868	20477.2405685	20163.8291656	20987.6432058	20991.9580235	20369.5153537
Nucleotide metabolism;Pyrimidine	15388.4171918	16888.7847057	16116.8749771	16248.6812483	15910.9524641	15793.5273689	15916.4835103	16347.3158341	15920.6413091	15994.8477607	17926.0010128	17118.8022935	17185.7157217	16913.8937052	17156.5498505	16433.9466513	16209.7113253	17033.6229164	16968.2800638	16919.4710722
Replication and repair;Base	3595.45213737	3966.04440511	3805.23062334	3803.27678934	3682.98037689	3606.87648347	3270.8945897	3430.20296506	3618.96859328	3570.07332471	3415.59457269	3533.96214675	3432.26137911	3514.73124143	3427.46969878	3814.93415327	3828.66321627	3906.96337148	3664.61856773	3667.47238084
Replication and repair;DNA	7952.28610123	8654.571431	8499.64586435	8512.18515479	8173.60323906	7932.23851952	7270.04993272	7652.74766756	8082.21652584	7962.70828034	8592.39787802	7748.55885017	7572.16871667	8040.56079117	7719.45748067	8569.9808329	8436.92300398	8710.52189302	8648.37950179	8644.53350676
Replication and repair;Fanconi	1411.90939031	1478.95490898	1279.68293004	1261.46852056	1436.93019513	1627.03360788	988.786729696	1011.04473328	1262.35374342	1163.08186449	876.932481357	1035.58851895	915.818618814	1077.50633776	987.207395403	1329.66856366	1267.11134775	1319.30400394	1302.21801918	1186.5250668
