#contig	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_92126_length_1854_cov_2.954975	7547.72625178	6363.19841224	15319.1437921	11310.7725159	2769.68360014	3204.21510505	1640.35073907	6487.86734084	4188.92883374	4825.12708229	45534.3855373	26942.7426398	40835.6741534	19567.0334807	28513.8036771	7247.52221929	17082.8334107	16059.7771512	15756.8950435	22785.3397341
NODE_92159_length_1853_cov_20.390434	0.0	3471.11926925	4178.44108466	6773.53061051	1385.01396124	3204.52972056	1670.08384591	1622.14736421	1396.46275604	1206.41290255	0.0	46192.7139932	8597.98515146	19569.4802402	29093.8205679	25886.5102215	22779.6069454	17399.9429283	12381.6273756	9969.67224993
NODE_92276_length_1852_cov_2.663328	1336.46332018	578.566624127	0.0	2258.14702648	0.0	1602.42358008	3281.31630501	6489.31762193	0.0	1206.54188194	11040.9727694	16682.5642659	17197.977403	18267.1330724	21389.7442291	2071.12189347	1139.1054785	1338.60023265	5628.56193237	8546.36552894
NODE_92212_length_1852_cov_675.974402	113599.369833	197291.362764	210339.694303	210007.611103	134362.946733	78518.7235733	165706.488298	269306.650378	159214.097662	179774.850347	585171.554705	424763.773657	563233.787575	409705.698042	431359.82735	164654.124259	209595.357539	257011.18833	257788.161031	266361.725326
NODE_92247_length_1852_cov_5.431831	0.0	0.0	0.0	1129.07351324	4155.55539114	0.0	1640.65815251	1622.32896359	0.0	0.0	5520.48534774	1283.27402787	4299.49435075	35229.4700579	8318.23407849	10355.605836	4556.42011026	1338.60023265	1125.71238647	18517.1249868
NODE_92347_length_1850_cov_22.715320	0.0	3471.96969399	6966.53752819	12423.1413255	4156.58801437	0.0	1640.96603955	1622.69226924	8381.5243162	3620.41111567	5521.65651286	83431.4938523	8600.9992005	28712.6912351	33279.781354	15536.4169771	18229.6881013	17405.5178185	20266.7948455	14247.0555761
NODE_92393_length_1849_cov_705.403567	97592.8642209	197918.507231	298203.149328	260921.072756	175984.155171	91365.1473397	149341.991373	233693.959572	163457.661406	205178.923546	675056.991455	491659.140188	597839.459249	361564.293741	552739.048495	188526.82579	214222.39851	255754.576178	251107.713724	359065.087648
NODE_92396_length_1849_cov_155.387960	36957.2904231	77498.1802357	91287.3624979	82809.8911348	39894.3301285	41524.3668255	53419.4181843	75424.4187296	46856.750673	52246.4982103	199089.423581	155328.344674	188905.816002	133629.367509	212127.653291	75247.3681404	87973.4503046	167326.454273	106842.642048	167206.767927
NODE_92503_length_1848_cov_3.709983	0.0	578.756824051	0.0	2259.36204993	0.0	1603.05577096	0.0	1623.05629262	0.0	0.0	12426.3648253	10270.7951618	8603.01480957	3916.35079672	7132.85340111	12431.5483357	2279.21186696	2678.3444917	6756.92494942	0.0
NODE_92525_length_1848_cov_2.001673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3851.5474734	0.0	6527.25200105	3566.42670055	0.0	2279.21186696	1339.17321511	4504.61663295	5700.06991966
