	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_23873_length_4814_cov_234.845556	151455.995001	26994.3717537	138734.666453	195874.847082	77663.7436887	93647.2245438	609205.778694	364044.793731	291834.258033	381328.021194	194593.036191	147980.642508	206811.149143	99344.6318992	254237.765321	61560.1072199	144791.28244	35805.1888728	38486.1299528	92481.174922
NODE_23968_length_4801_cov_236.658871	138362.980885	25410.1302896	159638.312196	154775.871614	89817.5526101	72048.6367985	507013.236469	328134.795016	303067.751336	328014.115204	179560.683237	153701.600572	201159.08474	63959.4902565	212789.03115	60637.5728763	134691.358474	52523.9123871	53687.1377025	111505.032863
NODE_24339_length_4755_cov_5.410213	1193.56295645	0.0	11059.8442503	16666.5031714	4858.65600576	0.0	0.0	7200.87656419	3728.75011553	2150.15527325	2465.26110492	25064.8445013	11394.4776265	3428.99628155	3193.86501765	3733.79358167	0.0	10750.5942659	0.0	0.0
NODE_24345_length_4753_cov_237.805236	138274.845444	27012.8286025	181778.225137	242163.081642	80170.4762292	87955.5402332	664564.004793	420448.120021	294457.054294	411413.581697	186999.629958	157229.667042	210329.922762	97158.1851014	243770.382422	75611.2941662	145933.937911	40614.53729	50680.4370656	112851.171228
NODE_24738_length_4701_cov_237.347396	40612.9965927	34448.6763927	55346.989643	75562.387981	27962.4981537	59159.5104125	35625.755053	99453.9356213	47268.9460541	62404.3842663	215879.417483	271379.142257	218580.953397	388973.270286	116132.400092	77532.2143859	70995.4226974	137477.177592	93317.6291754	163697.728163
NODE_24769_length_4698_cov_4.453155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87589.2249597	0.0	0.0	1144.09728381	18113.1682506	8407.44910326	0.0	4782.0259228	15215.4535046	0.0
NODE_25277_length_4634_cov_225.246560	133917.681389	27050.3132521	134210.356941	176856.859711	77898.2412283	73657.5700024	579437.203467	320318.050643	255265.839014	348958.824494	158058.090792	113002.972545	209305.332207	76739.4777681	231424.288885	55164.0474127	135030.434595	35899.6916402	41625.9183967	86378.858594
NODE_25933_length_4561_cov_8.023080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1236.21463739	0.0	22861.2910278	0.0	0.0	64580.7137208	0.0	4792.04025643	101632.870335	3815.23027653
NODE_26256_length_4525_cov_4.268009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75451.9338181	1143.47261321	0.0	3442.84031978	36319.7456213	936.441433834	0.0	5993.47319994	8134.92670949	0.0
NODE_26389_length_4509_cov_221.826673	122198.283845	28685.5819912	141902.063019	170387.193527	89052.0307222	76685.7821163	503055.554499	342660.673486	250786.819954	299455.143362	148467.910825	102358.785462	182136.719432	82652.6800725	188602.207325	52453.1133843	99696.1384503	20383.049054	43735.6382306	81460.4074728
