#contig	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_1175_length_21934_cov_24.588875	32857.913156	27688.9520006	48743.3286251	42313.3306596	25174.1440852	39279.2126361	60868.7918247	60001.5463467	41234.6686434	72389.5134963	69038.6944361	90622.3961989	87931.8301255	209881.032655	68815.1325046	46260.096272	67230.9239073	69146.1926944	35724.4862026	74523.4364479
NODE_1177_length_21925_cov_23.490444	37390.2400695	18802.8775991	29014.0577414	56111.5365767	42338.6223263	56297.7058085	53791.3036141	75002.3843095	36522.348626	54037.5536758	49146.4751278	91701.7794887	59219.7629274	178669.133001	56671.5876539	40922.6063924	52824.6089144	48742.6853443	40552.3485523	66109.8885738
NODE_1179_length_21915_cov_23.686322	140218.225969	532719.614995	11771.2230622	16191.6665019	183380.297297	68852.5576359	117929.207987	83419.3096835	103762.468138	120259.123824	8582.65081571	41614.6200627	12561.8632664	12980.7551377	8135.63516024	19880.1576048	14481.5361825	42276.3440145	17123.5075947	17005.4721718
NODE_1180_length_21913_cov_13.719279	83845.4493135	77244.7044407	80079.5010086	57031.9323135	76667.9168822	28835.6210603	31142.5512774	20455.3660932	38878.9470634	35685.4666427	88932.407873	15103.9494349	25123.7451522	53816.473777	28336.0042434	38254.0107581	24011.3807779	46475.9228684	68553.2821085	120200.753689
NODE_1182_length_21908_cov_10.363108	7931.35797706	5590.08833132	17574.9228479	8497.01063372	4610.45922615	1373.1335022	0.0	4091.07648028	5890.76144824	6117.51877978	63873.9399004	117595.402281	23329.2859575	45206.0173638	91954.0350325	230635.444124	138305.98296	143741.190971	109106.243825	146645.402929
NODE_1184_length_21880_cov_135.197709	1127316.18406	722592.610872	627763.712296	724876.255575	1005558.15911	1780862.32754	910229.156374	552051.899227	732792.383526	792088.267139	159145.57534	127307.510442	364241.220047	184024.815991	126502.66668	29358.3013541	48984.2823004	55545.5939264	60196.259489	120050.189269
NODE_1186_length_21870_cov_22.212514	39657.7314544	23885.4013652	25533.3664541	44155.2448501	19453.6624073	52180.1023322	56019.5260639	65459.0523854	31810.9538067	46902.2057712	42127.0297008	87389.6380503	61016.6375305	201280.035785	44529.2131498	42703.2548931	53787.0209504	40809.276904	46347.0772092	56495.971109
NODE_1187_length_21863_cov_25.323643	170405.255536	581812.579207	32158.5168631	19819.9345037	235606.44085	83389.7762861	125236.578695	94687.566356	157888.25595	128555.789491	18723.2032863	55378.9885754	14012.9727899	25853.8434343	13476.6718094	22613.4959051	23315.1363736	58508.9052183	34151.8544958	24650.7016513
NODE_1190_length_21819_cov_14.298842	28327.8831281	19681.5717096	15251.8982986	15638.9478882	29790.9935441	30210.4591696	14156.4670788	9546.44477503	10704.8505237	19758.4143135	35107.030052	58420.3575412	25214.0205355	15112.4767844	22407.8002277	157817.071061	122398.023003	103160.1882	237536.046014	232001.887613
NODE_1192_length_21798_cov_21.919192	143907.59439	530743.214619	23213.3328984	9199.5371077	197980.177739	67462.6307246	96265.22755	61370.8435971	123715.140423	122468.956315	1170.24228048	31323.62501	0.0	4621.22656362	6072.43468159	5338.1349823	7684.23036969	32875.672427	3862.42749315	14425.1831729
