	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Metabolism of other amino acids;Phosphonate	0.561128902739	0.495247400823	0.466141788146	0.491890861723	0.5461491727	0.515838165925	0.525475009785	0.463658920819	0.52828596621	0.522859372807	0.329111386636	0.402677739074	0.392584834125	0.423198072107	0.384965770708	0.518579063388	0.523974079913	0.434232419249	0.422434129585	0.516929611582
Metabolism of other amino acids;Selenocompound	2.5568821368	2.53742051924	2.45767164725	2.51156572862	2.44063037589	2.55913570598	2.68788983449	2.48912862755	2.55580623442	2.6415191428	2.77022513164	2.86787104942	2.75153548049	2.48942035554	2.84401123336	2.62216549104	2.578664795	2.65893474399	2.73712262806	2.4922950401
Metabolism of other amino acids;Taurine	1.50149907382	1.48221817601	1.46707017475	1.43742790588	1.53878581134	1.70361731168	1.14148899237	1.21854024953	1.31876248189	1.28949301035	1.27865791298	1.43274849041	1.22553050829	1.29855177565	1.24107815814	1.45820796079	1.36306273375	1.49410815747	1.43592982538	1.44463780618
Metabolism of other amino acids;beta-Alanine	3.80029458254	3.64480126833	3.56709626033	3.5325252902	3.7707778308	4.06996539267	3.2866453591	3.40307552384	3.63009023314	3.52636519663	3.02842011579	3.10037681026	3.02087182886	3.36274369294	3.07948703035	3.56665950768	3.81103587495	3.61789778214	3.4358808127	3.48650236865
Metabolism of terpenoids and polyketides;Biosynthesis	0.729810734453	0.76305898164	0.815190731332	0.791238260352	0.726974355016	0.617128018995	0.816721908237	0.817005816238	0.772820517478	0.782755805107	0.973503425003	0.960530849719	0.972954383542	0.877231528894	1.00359580338	0.771938172453	0.779570368215	0.826890556737	0.865981199871	0.851580357809
Metabolism of terpenoids and polyketides;Carotenoid	0.851477982625	0.739099128756	0.864189194035	0.876569664387	0.788103095478	0.741253547026	0.956956755222	0.810727939392	0.859396816284	0.879410491978	0.849200576414	0.826079480903	0.85665483553	0.782382310266	0.842250873185	0.894854791934	0.860982959169	0.820119397741	0.855433902183	0.793908089082
Metabolism of terpenoids and polyketides;Geraniol	0.654936359134	0.5880593183	0.535961717704	0.53677999922	0.62409363679	0.616115910317	0.489454107516	0.525011863962	0.529839970074	0.518470745249	0.556331590231	0.582342871138	0.60698799078	0.600575557394	0.572791106881	0.488417858796	0.519105949086	0.531676280556	0.51472874377	0.510390306893
Metabolism of terpenoids and polyketides;Insect	1.03028732054	0.964288997995	0.918740188427	0.930474601914	0.973353177736	1.21075741878	0.921019905305	0.914638875152	0.958589150121	0.941134960406	0.885447344365	0.948041326026	0.917937758002	0.948496444817	0.952156419797	1.02594086481	1.08428166556	0.990209788367	0.927236079624	1.00269354839
Metabolism of terpenoids and polyketides;Limonene	1.2806114031	1.19441700599	1.15744194432	1.15859126128	1.21318587949	1.38479912757	1.11243251689	1.13869449823	1.16549665221	1.14884508885	1.17628121962	1.2097376236	1.18806735553	1.26033963427	1.22004822763	1.25653731839	1.34548996682	1.25471157572	1.16355648517	1.25179382802
Metabolism of terpenoids and polyketides;Polyketide	1.97699488624	1.85494263342	2.02205216824	1.95582200271	1.9603084179	1.80160164189	1.71639289478	1.81907803392	1.86055343489	1.82381401823	1.8575208251	1.80259025961	1.64937984438	1.73930468976	1.83468718839	1.93392234174	1.82140643047	1.97233823212	1.92978435645	1.96995379116
Metabolism of terpenoids and polyketides;Terpenoid	5.12553036462	4.90764941863	4.95183902465	4.91975118571	5.06196363789	4.75744840432	4.31089200266	4.32461487403	4.75651452291	4.6175454536	4.32415329884	4.55182137536	4.30728208118	4.43284098565	4.52570469891	4.89514849648	4.72750307814	4.87349916076	4.76232051385	4.72559566583
Nucleotide metabolism;Purine	18.6307158456	19.7958912892	19.0452959685	19.1088528994	18.8453376312	18.313022495	17.4106048046	17.5872232786	18.3201008282	18.0235180229	19.247454952	19.1149441861	18.2270697985	18.411781194	18.551511056	19.6279379327	19.0073778116	20.089943044	20.0080890183	19.0672917521
Nucleotide metabolism;Pyrimidine	14.6155952895	16.0675424781	15.2425703162	15.3440977049	15.0009264109	14.8482741915	13.7279224298	14.1874467141	14.5452264908	14.4438295364	16.1017683854	15.6662992862	15.0859576465	15.0766674817	15.4070536226	15.7523414242	15.2800395623	16.3050472541	16.1729962314	15.8378088837
Replication and repair;Base	3.41488488826	3.77318960836	3.59880531604	3.59154381593	3.4723325163	3.39100251327	2.82113741861	2.97699159172	3.30631893719	3.2238837972	3.06800789917	3.23411110824	3.01290622022	3.13295301119	3.07796205525	3.65670806704	3.60907879488	3.73985162784	3.49286209695	3.4330107842
Replication and repair;DNA	7.55291423629	8.23373004753	8.03855895974	8.0383016136	7.70611445025	7.4574887382	6.27039769638	6.64163773745	7.38397829798	7.19056553521	7.71799579884	7.09110601912	6.64699791392	7.16717649572	6.93228512599	8.21453707639	7.95304214232	8.33794852513	8.24303986993	8.09188827382
Replication and repair;Fanconi	1.34100187024	1.40703853103	1.21026297413	1.19124105737	1.35474505146	1.52965455812	0.852825783794	0.877461683893	1.15329657601	1.05029797337	0.787691783256	0.947720488683	0.80392350944	0.96046510916	0.886539392251	1.27451997017	1.1944390085	1.26287368414	1.24118455362	1.11067049102
Replication and repair;Homologous	2.24824776325	2.32660445096	2.48071279976	2.59365616274	2.20783001744	1.7853353312	3.01215452533	2.95219005993	2.68781125993	2.77938786923	5.01327887582	3.91734032055	4.23682424608	3.43807655407	3.93389090061	2.45481190927	2.40815168914	2.6644481988	2.98419795254	2.9200306802
