	SG1-TOP-2017-02mt-9am-DNA-10	SG1-TOP-2017-02mt-9am-DNA-3	SG1-TOP-2016-02mt-9b	SG1-TOP-2017-02mt-9am-DNA-6	SG1-TOP-2017-02mt-9am-DNA-9	SG1-TOP-2014-09-5	SG1-TOP-2014-09-7	SG1-TOP-2017-02mt-9am-DNA-1	SG1-TOP-2017-02mt-9am-DNA-12	SG1-TOP-2016-02mt-17b	SG1-TOP-2017-02mt-8pm-DNA-1	SG1-TOP-2017-02mt-9am-DNA-11	SG1-TOP-2016-02mt-13a	SG1-TOP-2017-02mt-9am-DNA-2	SG1-TOP-2014-09-2	SG1-TOP-2014-09-1	SG1-TOP-2017-02mt-8pm-DNA-3	SG1-TOP-2017-02mt-8pm-DNA-2	SG1-TOP-2015-06-3	SG1-TOP-2016-02mt-3-1	SG1-TOP-2014-09-9	SG1-TOP-2017-02mt-9am-DNA-5	SG1-TOP-2015-06-8	SG1-TOP-2016-02mt-1-2	SG1-TOP-2014-09-10	SG1-TOP-2014-09-6	SG1-TOP-2015-06-9	SG1-TOP-2017-02mt-9am-DNA-8	SG1-TOP-2017-02mt-9am-DNA-7	SG1-TOP-2015-06-7	SG1-TOP-2016-02mt-10-1	SG1-TOP-2014-09-8	SG1-TOP-2017-02mt-9am-DNA-4	SG1-TOP-2015-06-6	SG1-TOP-2016-02mt-2-2	SG1-TOP-2014-09-3	SG1-TOP-2017-02-9am-1	SG1-TOP-2015-06-1	SG1-TOP-2016-02-1a	SG1-TOP-2016-02mt-17a	SG1-TOP-2016-02mt-13b	SG1-TOP-2016-02-17a	SG1-TOP-2016-02-9b	SG1-TOP-2016-02mt-1a	SG1-TOP-2016-02-9a	SG1-TOP-2016-02-13a	SG1-TOP-2015-06-2	SG1-TOP-2016-02-1b	SG1-TOP-2015-06-4	SG1-TOP-2014-09-4	SG1-TOP-2017-02-9am-2	SG1-TOP-2016-02mt-1b	SG1-TOP-2016-02-17b	SG1-TOP-2016-02-13b	SG1-TOP-2015-06-5
SG1-TOP-2014-09-2	0.0891036499439	0.107704055286	0.179320580374	0.0915419066234	0.110359363893	0.109532114639	0.0911890021111	0.094076090821	0.11120059145	0.177871776921	0.106386334052	0.0876579609957	0.162365915885	0.0892052121469	0.0	0.0911287276736	0.0794350372717	0.0901982377345	0.0761695957004	0.152986375784	0.0631942782065	0.100258510013	0.0761889589597	0.176237990147	0.102003864258	0.103613608708	0.0840518211464	0.0928471949468	0.105931585918	0.0862041152662	0.151553677064	0.0986221632554	0.127520567586	0.0758731842487	0.154574816814	0.072151302728	0.104259563765	0.0602987918213	0.140057211637	0.172090885769	0.156094392354	0.170437415399	0.216630653015	0.151338829148	0.113665396137	0.172180219449	0.0851448500147	0.161653977862	0.0978022407698	0.0916987915539	0.0706130759176	0.147516365149	0.172449479868	0.165730604688	0.0928912377938
SG1-TOP-2014-09-1	0.0725249585583	0.0736251740684	0.145917495728	0.0774019494113	0.073907893157	0.0587618399565	0.0474585665107	0.0850158840597	0.0764351704545	0.13932034965	0.0781960700758	0.0856214884324	0.127030156733	0.0820136646743	0.0911287276736	0.0	0.0774482796392	0.0754036474802	0.0500310775806	0.117368653851	0.0523468298701	0.0679663643055	0.078796495146	0.13941636539	0.0380522443182	0.0497748270822	0.0466017524259	0.0789431490987	0.0755452070179	0.0425649542672	0.113701235825	0.0647038299696	0.0901927026515	0.0544030050413	0.121707157142	0.0485538871047	0.0721391069897	0.071503119809	0.114579045815	0.135897871679	0.11882522504	0.139298653907	0.182296675258	0.115912315267	0.0864342897727	0.139617073074	0.0437762592922	0.124970323704	0.0478991244661	0.0423590988892	0.0801579164652	0.109952501147	0.138686948363	0.12615074823	0.0497204424367
SG1-TOP-2017-02mt-8pm-DNA-3	0.0365660702642	0.0550286731813	0.146717049506	0.0303087267945	0.0495495390467	0.0689808489722	0.0506501082061	0.0327398170492	0.0539963062141	0.144681177877	0.0451957979928	0.0242727810444	0.129823974566	0.0248934040841	0.0794350372717	0.0774482796392	0.0	0.0284166484127	0.0538503150582	0.112491741139	0.0574490982729	0.0432708703518	0.060956591086	0.141580510951	0.0889057512301	0.066530171406	0.0718073394299	0.0314457536392	0.046277681891	0.0762229682963	0.118581430638	0.0632009916759	0.071172138481	0.0500519464269	0.111235040015	0.0503201670801	0.0575440217532	0.0699529194936	0.122421588045	0.126846920907	0.114186372323	0.13982631883	0.189504302952	0.113766733315	0.0819423137301	0.143507536063	0.0771925592141	0.136342408464	0.094502395146	0.0601800817555	0.0388351010156	0.114426309947	0.14837144325	0.128151868867	0.077954519182
SG1-TOP-2017-02mt-8pm-DNA-2	0.0270765232816	0.0385053132619	0.131480962662	0.0207738885443	0.0348931935619	0.0664254579593	0.0500629496553	0.0276379788588	0.036152792378	0.13067018496	0.030053134953	0.0296156695264	0.114687627235	0.0278935096959	0.0901982377345	0.0754036474802	0.0284166484127	0.0	0.0496202066321	0.0984629658306	0.0687622335404	0.0273512200701	0.0749402054608	0.127024104102	0.087622429756	0.0652614489111	0.0675589641257	0.0260642122045	0.0385160536187	0.0724367790131	0.106638464758	0.0599563100659	0.0555765970384	0.0516778327018	0.0999377016029	0.0541738356569	0.0439904807041	0.0825800091378	0.107095094204	0.11366289532	0.0968614092995	0.126412826802	0.174257334179	0.0968055695611	0.0718987381316	0.130648890631	0.0759903319561	0.126986481802	0.0898184588815	0.0555585865052	0.0444153974111	0.101980186111	0.136990370937	0.111349527903	0.072675694545
SG1-TOP-2015-06-3	0.0474037686843	0.0646762355526	0.138543785617	0.0531094204322	0.0633365648243	0.0652516914442	0.0485169607137	0.0571377158251	0.0628562337333	0.128802937164	0.0632042030172	0.0595959154068	0.117761174041	0.0581373365914	0.0761695957004	0.0500310775806	0.0538503150582	0.0496202066321	0.0	0.107655339453	0.0518821541375	0.052550564406	0.069975903964	0.13111952414	0.0628316462536	0.0607982691443	0.0381347848331	0.0517410879743	0.0617549343963	0.0356565895443	0.102743322623	0.0656282234752	0.0799619870851	0.0276545702339	0.112514991429	0.043576549657	0.0642095616062	0.0736166098117	0.104732287885	0.126440117015	0.106378700723	0.129881152929	0.178451234774	0.105783781624	0.0800054427561	0.129364660782	0.0417310272523	0.116427781467	0.0550399996615	0.0442349254849	0.0513074743495	0.10231419444	0.131237369934	0.114166555125	0.0400429375915
SG1-TOP-2016-02mt-3-1	0.0970235475328	0.0841733717266	0.0565862791764	0.0997190302514	0.0833782835487	0.087026924952	0.10797285114	0.102475330304	0.0864157510483	0.0576026681785	0.0870827634573	0.1111330995	0.0427038913158	0.109945653226	0.152986375784	0.117368653851	0.112491741139	0.0984629658306	0.107655339453	0.0	0.135770850297	0.0823461887607	0.147475862373	0.0517862364086	0.0971224779444	0.0919603117017	0.102415992732	0.104436161329	0.0909356621923	0.104729624941	0.0364813061669	0.0943321708346	0.066837438173	0.109038765407	0.0326528563944	0.121611201744	0.0768232571282	0.15284593508	0.05438760932	0.0448467740077	0.0309325224898	0.0515325902779	0.0997836940071	0.0332057634417	0.0667437313329	0.0556245973037	0.109201733621	0.0524261660142	0.109788138585	0.101739222562	0.114913564623	0.0355442374533	0.0620005556453	0.0363492562478	0.0988803371853
SG1-TOP-2014-09-9	0.0649384685403	0.0883695601716	0.168867724812	0.0679937630825	0.0862385418925	0.0775691923867	0.0517138071429	0.0728123086069	0.0893597290179	0.164543566034	0.0870093534632	0.0647082952381	0.149665603628	0.0655099987621	0.0631942782065	0.0523468298701	0.0574490982729	0.0687622335404	0.0518821541375	0.135770850297	0.0	0.0782711866255	0.0439449998108	0.160419860905	0.0680721693182	0.0701749288192	0.0724708561798	0.0667549704433	0.0847684349849	0.0642944920785	0.137061618219	0.0758217720507	0.105128069312	0.053525169588	0.138942183035	0.0357288187112	0.085676355885	0.0368736611296	0.134393861472	0.153316808876	0.138505867957	0.158289106963	0.207560280339	0.136861210459	0.104016275649	0.161480985282	0.0697748649306	0.147493849899	0.073853763279	0.0599874109952	0.0592278309017	0.131576271365	0.160471296498	0.148003948817	0.0710156110709
SG1-TOP-2017-02mt-9am-DNA-5	0.0320681594225	0.0261591579165	0.116867635194	0.0342709354399	0.0270567349944	0.0564787995011	0.0502508527247	0.0357588343218	0.0284414345214	0.116045217888	0.0252398473511	0.0455725985556	0.0996262282617	0.0381518358043	0.100258510013	0.0679663643055	0.0432708703518	0.0273512200701	0.052550564406	0.0823461887607	0.0782711866255	0.0	0.0853272041672	0.114078996474	0.0776567860369	0.0567226576548	0.0583289378218	0.0357387405599	0.0306276467359	0.0622694638829	0.0911961675881	0.0541255093961	0.0426045319122	0.0546193483262	0.0881510030535	0.064476329935	0.0354519118046	0.0932283256173	0.0917923969118	0.1001486594	0.0828894797138	0.112169788872	0.159473105974	0.0832392350511	0.0619455110848	0.115685307086	0.0651768212815	0.112559390289	0.0803824813938	0.0485425123083	0.0555218665045	0.0879682554338	0.122775622714	0.096718564779	0.0607841671578
SG1-TOP-2015-06-8	0.0740625501432	0.0976721138815	0.1820238855	0.0718744435474	0.0923522071329	0.0903249869334	0.0644699106934	0.0736337302338	0.0945822621068	0.177011849998	0.0909787883052	0.0694167067414	0.161921633824	0.0700810770829	0.0761889589597	0.078796495146	0.060956591086	0.0749402054608	0.069975903964	0.147475862373	0.0439449998108	0.0853272041672	0.0	0.174921674352	0.097703772351	0.0868129268461	0.0884600275743	0.0726309161909	0.0898684459202	0.0849175312137	0.147786961142	0.0790869571236	0.113926581923	0.0676625018568	0.148016860956	0.055031254445	0.0971594766754	0.0443245281072	0.148120381908	0.163521747707	0.149865067571	0.168535534084	0.221032102905	0.149412919879	0.113171577702	0.175164712829	0.0886141792028	0.163269012965	0.0990038201031	0.07518780804	0.0645321556761	0.143712024916	0.179306226437	0.159684070767	0.0908666367288
SG1-TOP-2016-02mt-1-2	0.125837716534	0.112013003715	0.0382239613695	0.128712004079	0.113568125059	0.119463740975	0.13932843337	0.131816369308	0.1124716096	0.0350696397019	0.115109111485	0.141762799937	0.0420742726967	0.136812589205	0.176237990147	0.13941636539	0.141580510951	0.127024104102	0.13111952414	0.0517862364086	0.160419860905	0.114078996474	0.174921674352	0.0	0.119571355219	0.120907200814	0.121510864165	0.131659341807	0.117732660359	0.126890419714	0.0510711526468	0.12230836511	0.0926846975309	0.133384492767	0.0470853803607	0.147322733103	0.106473255882	0.18022532122	0.0710548754743	0.0433131628371	0.0476533358426	0.0430404229994	0.0675274615523	0.0490494987893	0.0862276247428	0.0382955506292	0.131840036946	0.0432043428389	0.132193160646	0.131888684804	0.145760687111	0.0542793071472	0.036199674785	0.0427708189944	0.122421287189
SG1-TOP-2014-09-10	0.0842787879389	0.07590352604	0.127018495173	0.0898062300279	0.0810033413548	0.0485416006056	0.0632753475936	0.0967716494162	0.0821640447443	0.120320843531	0.087382405303	0.0960746567599	0.108745096307	0.0932496466342	0.102003864258	0.0380522443182	0.0889057512301	0.087622429756	0.0628316462536	0.0971224779444	0.0680721693182	0.0776567860369	0.097703772351	0.119571355219	0.0	0.0466557731214	0.0545988547443	0.0895211262875	0.0796274382684	0.0477678613744	0.0970489748612	0.0688175086597	0.0699173609007	0.0683006379359	0.102619548743	0.0626113685771	0.0728930885506	0.0878113355104	0.0956147727273	0.116336926775	0.0997115018837	0.118822279518	0.163428920747	0.0964347479611	0.0692936931818	0.120189921952	0.0509806748974	0.105909556338	0.0456989538209	0.0562182009704	0.0899667003143	0.0915602480381	0.119827438723	0.107789088576	0.0525946809799
SG1-TOP-2014-09-6	0.0652323442634	0.0623410977042	0.127097265309	0.0652041524222	0.05766781845	0.0277919904988	0.0373861593846	0.0719833392145	0.0618147620123	0.123497000081	0.0628768476309	0.0745183365051	0.11008324866	0.0696255477304	0.103613608708	0.0497748270822	0.066530171406	0.0652614489111	0.0607982691443	0.0919603117017	0.0701749288192	0.0567226576548	0.0868129268461	0.120907200814	0.0466557731214	0.0	0.0611144865419	0.0683236456904	0.0603782787116	0.0562978347442	0.0975730328869	0.0429738493694	0.0621923264826	0.0608896030772	0.0983591196897	0.0592477363188	0.0537547661504	0.0825631296449	0.102623628606	0.109982156168	0.0944865004621	0.117451203433	0.166127889652	0.0990162610362	0.0668112961442	0.12227297915	0.0629383075499	0.109307712285	0.0566298191217	0.0386827262616	0.073601323023	0.0908196933565	0.124707969156	0.104665592844	0.0555773248882
SG1-TOP-2015-06-9	0.066548660024	0.0576806245143	0.126938970601	0.0717260274045	0.0651831359775	0.0623652969743	0.060894008663	0.0748770750626	0.0665863491611	0.120765523147	0.0668496904032	0.0789573446269	0.111055921934	0.0777390870613	0.0840518211464	0.0466017524259	0.0718073394299	0.0675589641257	0.0381347848331	0.102415992732	0.0724708561798	0.0583289378218	0.0884600275743	0.121510864165	0.0545988547443	0.0611144865419	0.0	0.0732860138374	0.0608715403403	0.0277810589843	0.0943678350432	0.0612081411372	0.0756764432555	0.0451133360516	0.102677405184	0.0617031581714	0.0604712813582	0.0883758447497	0.0951605660133	0.122022071278	0.103187211355	0.122512252051	0.164970929966	0.0984348022794	0.0711739651886	0.122829624472	0.0289695809418	0.108463093527	0.0431094324119	0.0509401103531	0.0686680826304	0.0939550990794	0.123753600086	0.109519362236	0.0280478745697
